,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_S,Max_S,avg_salary,Country,age_company,python,java,machine learning,aws,Job,Seniority
0,"Data Scientist, Game Analytics & Strategy",80 - 156 ,"At the NBA, we’re passionate about growing and celebrating the game of basketball. Through the intensity of the game and the amazing athletic skill of our players, we deliver excitement to hundreds of millions of fans around the world. As a global sports and media business, the NBA is so much more. While Basketball Operations runs the league’s on-court activities, other departments manage relationships with television and digital media partners, develop marketing partnerships with some of the world’s most recognizable companies, oversee the licensing of NBA merchandise, and handle a wide range of responsibilities that drive the NBA’s success.

The NBA is committed to providing a safe and healthy workplace. To safeguard our employees and their families, our visitors and the broader community from COVID-19, and in consideration of recommendations from health authorities and the NBA’s own advisors, any individual working onsite in our New York and New Jersey offices must be fully vaccinated against COVID-19. The NBA will discuss accommodations for individuals who cannot be vaccinated due to a medical reason or sincerely held religious belief, practice, or observance.",3.9,the NBA,"New York, NY",1001 to 5000 Employees,1946.0,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,80,156,118.0,NY,75.0,0,0,0,0,data scientist,na
1,Data Scientist - Entry Level,69 - 115 ,"Job Details
New ideas are all around us, but only a few will change the world. That’s our focus at JPL. We ask the biggest questions, then search the universe for answers—literally. We build upon ideas that have guided generations, then share our discoveries to inspire generations to come. Your mission—your opportunity—is to seek out the answers that bring us one step closer. If you’re driven to discover, create, and inspire something that lasts a lifetime and beyond, you’re ready for JPL.
Located in Pasadena, California, JPL has a campus-like environment situated on 177 acres in the foothills of the San Gabriel Mountains and offers a work environment unlike any other: we inspire passion, foster innovation, build collaboration, and reward excellence.",4.5,JPL/NASA,"Pasadena, CA",5001 to 10000 Employees,1936.0,Nonprofit Organization,Federal Agencies,Government,Unknown / Non-Applicable,69,115,92.0,CA,85.0,0,0,0,0,data scientist,na
2,University Grad Data Scientist,97 - 186 ,"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
We're looking for university grad Data Scientists to help us connect Pinners to actionable content that improves the Pinner experience. You'll apply quantitative analysis, modeling, and data mining to improve the relevance of Pins across our Ads, Search, and Feeds products.
What you'll do:


Not Specified
0",4.3,Pinterest,"San Francisco, CA",1001 to 5000 Employees,2010.0,Company - Public,Internet,Information Technology,$100 to $500 million (USD),97,186,141.5,CA,11.0,0,0,0,0,data scientist,na
3,Data Scientist,70 - 112 ,"The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection, to cancer research, to national intelligence — you know the answers are in the data.
We have an opportunity for you to use your analytical skills to improve Air Force mission solutions. You’ll work closely with your customer to understand their questions and needs, and then dig into their data-rich environment to find the pieces of their information puzzle. You’ll develop data collection tools, data visualizations and dashboard, algorithms/scripts to process data or conduct predictive analytics leveraging machine learning or other approaches. and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help Air Force leaders make informed decisions. You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in aerospace mission solutions.",4.2,Booz Allen Hamilton,"Norfolk, VA",10000+ Employees,1914.0,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),70,112,91.0,VA,107.0,0,0,1,0,data scientist,na
4,"Data Scientist, University Graduate - 2022 Start",56 - 132 ,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

As a Data Scientist University Graduate, you'll have the chance to work with our clients and teams to address key business problems and identify areas of growth for the company. With your education and experience, you will be able to take on real-world challenges from day one.

By applying to this position your application is automatically submitted to the following locations: Mountain View, CA and Los Angeles, CA.

Application deadline: February 15th, 2022
Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is firm and includes all campus jobs globally. Applications will be reviewed on a rolling basis and we encourage you to apply early.

Teams
Responsibilities

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at Accommodations-AMS@tiktok.com.",-1.0,TikTok,"Los Angeles, CA",1001 to 5000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,56,132,94.0,CA,5.0,0,0,0,0,data scientist,na
5,Data Scientist,69 - 121 ,"Overview
Trissential is a trusted partner for end-to-end quality services and management consulting. As a part of our parent company Expleo, we have a footprint in 30+ countries. Our Mission is to have a positive impact on every person who interacts with Trissential. Clients love us because we are service focused. Employees love us because they are valued and cared for.
Come join a team where benefits start the first day of employment and compensation plans are designed to meet a flexible life style. We are looking for a seasoned Data Scientist to join a strategic engagement building a dynamic and forward thinking data analytics capability for our global client in Michigan.
Responsibilities
The Data Scientist who will support our engineering and automotive teams with models, algorithms and insights gained from analyzing data.",3.8,Trissential,"Michigan, ND",201 to 500 Employees,2003.0,Subsidiary or Business Segment,Consulting,Business Services,$25 to $50 million (USD),69,121,95.0,ND,18.0,0,0,0,0,data scientist,na
6,Data Scientist II,112 - 161 ,"The CSX Data team is the main data science and engineering team inside the Connected Services & Experiences (CSX) team which is in turn part of the Windows + Devices (W+D) group. Our data science team uses insights from data to improve the quality of experiences on our devices and services. The work of our approximately 60-strong data science staff spans PCs, Azure, Xbox, mobile devices, HoloLens, browsers, apps, the web, and more.

We combine our data science work with business and engineering knowledge to provide unique insight into customer scenarios that are leading the data-driven culture within CSX and W+D. We hire people with a desire to build great products and make business impact using statistical analysis, machine learning, experiments, data mining, data visualization, and more. We welcome applications from diverse multi-disciplinary backgrounds, with analytical skills, engineering abilities, communication skills, business interests, relentless curiosity, and a desire to improve the experiences of more than one billion customers",4.4,Microsoft,"Redmond, WA",10000+ Employees,1975.0,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),112,161,136.5,WA,46.0,0,0,1,0,data scientist,na
7,"Data Scientist, Operations Data Science",95,"Note: Google’s hybrid workplace includes remote and in-office roles. By applying to this position you will have an opportunity to share your preferred working location from the following:

In-office locations: Mountain View, CA, USA.
Remote location(s): United States.
Minimum qualifications:
Master's degree in Operations Research, Industrial Engineering, Statistics, related field, or equivalent practical experience.
2 years of relevant work experience (e.g., as a data scientist) or equivalent. Analytical engagements outside class work while at school can be included.
Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL)



Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",-1.0,Google,"Mountain View, CA",10000+ Employees,1998.0,Company - Public,Internet,Information Technology,$10+ billion (USD),95,95,95.0,CA,23.0,1,0,0,0,data scientist,na
8,Sr Data Scientist,111 - 244 ,"Remote, United States
Los Gatos, California
Data Science and Engineering
At Netflix, our mission is to entertain the world. With 200+ million paid members in over 190 countries enjoying TV series, documentaries, and feature films across a wide variety of genres and languages, Netflix is reinventing entertainment from end to end. We are revolutionizing how shows and movies are produced, pushing technological boundaries to efficiently deliver streaming video at a massive scale over the internet, and continuously improving and personalizing how content is presented around the globe.

We are seeking Sr Data Scientists for a range of teams within Data Science and Engineering. From owning experimentation within the Open Connect network, building sophisticated tools on a world-class experimentation platform to provide seamless quality of experience, driving Growth and Membership of Netflix Platform, to unlocking the power of data in highly creative editorial creative space, evaluating the performance and optimizing personalization algorithms to deliver recommendations or building sophisticated experimentation tools - we have a few areas within which we are seeking Data Scientists driven by curiosity and passionate about working with a range of stakeholders.",4.2,Netflix,"Los Gatos, CA",5001 to 10000 Employees,1997.0,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),111,244,177.5,CA,24.0,0,0,0,0,data scientist,senior
9,Data Scientist I,102 - 148,"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities


We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,Indeed,Remote,10000+ Employees,2004.0,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),102,148,125.0,te,17.0,0,0,1,0,data scientist,na
